CodigoExterno,Estado,CodigoEstado,Organismo,Sector,Region,Tipo,Rubro,Moneda,MontoEstimado,NumeroOferentes,CantidadReclamos,FechaCierre,Periodo,MontoAdjudicado
619133-32-LE26,Adjudicada,8,SERVICIO SALUD SAN FELIPE LOS ANDES HOSP,Salud,Región de Valparaíso ,LE,EQUIPAMIENTO Y SUMINISTROS MÉDICOS,CLP,69751000.0,3.0,380.0,2026-03-27,2026-03,614500.0
621-271-LP26,Adjudicada,8,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,Región Metropolitana de Santiago,LP,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,221215737.0,2.0,5876.0,2026-04-08,2026-03,138551400.0
621-270-LR26,Adjudicada,8,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,Región Metropolitana de Santiago,LR,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,579428478.0,1.0,5876.0,2026-04-08,2026-03,472785300.0
621-269-LR26,Adjudicada,8,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,Región Metropolitana de Santiago,LR,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,1463109718.0,1.0,5876.0,2026-04-07,2026-03,1039213826.0
621-268-LR26,Cerrada,6,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,Región Metropolitana de Santiago,LR,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,3117028499.0,3.0,5876.0,2026-04-02,2026-03,
621-267-LR26,Desierta (o art. 3 ó 9 Ley 19.886),7,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,Región Metropolitana de Santiago,LR,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,4054002750.0,1.0,5876.0,2026-04-07,2026-03,
621-266-LR26,Adjudicada,8,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,Región Metropolitana de Santiago,LR,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,2205641545.0,1.0,5876.0,2026-04-07,2026-03,1561675318.0
621-265-LR26,Desierta (o art. 3 ó 9 Ley 19.886),7,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,Región Metropolitana de Santiago,LR,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,20879206790.0,1.0,5876.0,2026-04-07,2026-03,
621-264-LR26,Cerrada,6,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,Región Metropolitana de Santiago,LR,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,6066476374.0,2.0,5876.0,2026-04-07,2026-03,
621-263-LP26,Adjudicada,8,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,Región Metropolitana de Santiago,LP,MEDICAMENTOS Y PRODUCTOS FARMACÉUTICOS,CLP,313246596.0,5.0,5876.0,2026-03-31,2026-03,151709150.0
